Case,batch_size,seq_len_q,seq_len_k,flops_total,flops_qk,flops_av,memory_total,memory_q,memory_kv,memory_out,ai,roofline,ratio_vs_roofline,is_compute_bound,compute_time_ms,memory_time_ms
B=2 · s_q=4 · s_k=53410,2.0,4.0,53410.0,7438229504.0,3937886208.0,3500343296.0,123335168.0,147456.0,123056640.0,131072.0,60.30907181315876,187.5,0.6447407407407407,False,0.03099262293333333,0.03854224
B=2 · s_q=4 · s_k=64792,2.0,4.0,64792.0,9023332352.0,4777058304.0,4246274048.0,149559296.0,147456.0,149280768.0,131072.0,60.332808413326575,187.5,0.6447407407407407,False,0.03759721813333333,0.046737280000000006
B=64792 · s_q=4 · s_k=53410,64792.0,4.0,53410.0,240968883011584.0,127571761594368.0,113397121417216.0,3995566102528.0,4776984576.0,3986542909440.0,4246208512.0,60.30907181315876,187.5,0.6447407407407407,False,1004.0370125482667,1248.61440704
B=64792 · s_q=4 · s_k=64792,64792.0,4.0,64792.0,292319874875392.0,154757580816384.0,137562294059008.0,4845122953216.0,4776984576.0,4836099760128.0,4246208512.0,60.332808413326575,187.5,0.6447407407407407,False,1217.9994786474665,1514.1009228799999
